questao,dificuldade_item,acerto_acaso_item,discriminacao_item,dificuldade_item_normalizado,classificacao_dificuldade
1,1.88655805153769,0.149664269341848,3.70918739031327,788.655805153769,Muito dificil
2,0.914660945807262,0.21094692726902,2.36120819617634,691.4660945807262,Dificil
3,1.66562374024347,0.0849863309270868,1.79345917601983,766.562374024347,Muito dificil
4,1.21403732796833,0.201567027261587,1.3256977971177,721.403732796833,Dificil
5,0.84172125590013,0.0839132061953988,2.3589343980052,684.172125590013,Dificil
6,0.090235325817732,0.215970926565846,1.25342194094131,609.0235325817732,Media
7,1.33167654609446,0.151336526013187,2.9615901159973,733.167654609446,Muito dificil
8,0.68827693802546,0.0376317546995495,1.94112833227194,668.827693802546,Dificil
9,-0.839589284070274,0.198326752912351,1.32514354560677,516.0410715929726,Facil
10,7.05943433456125,0.033279215287113,0.220909690477895,1305.943433456125,Muito dificil
11,-0.540747260167793,0.0057776614355763,1.27100815025574,545.9252739832207,Facil
12,2.03447761601806,0.0372630087856433,5.050535083452,803.4477616018061,Muito dificil
13,1.97071025708235,0.204381550471701,4.21951467268831,797.0710257082351,Muito dificil
14,1.01176443823845,0.188242742160556,2.18723953847405,701.176443823845,Dificil
15,1.90419989119437,0.212834988892799,1.01637979552405,790.419989119437,Muito dificil
16,1.84637769691245,0.130514341783652,2.91574080957741,784.637769691245,Muito dificil
17,5.72324183581777,0.0197781236577974,0.168542690800799,1172.324183581777,Muito dificil
18,2.18388311210763,0.213480222326083,0.915439901543041,818.3883112107629,Muito dificil
19,2.0542287584716,0.0003008126344062,0.433670982571268,805.4228758471601,Muito dificil
20,1.91433422727869,0.123832106119497,3.22458233761115,791.433422727869,Muito dificil
21,5.47705362843227,0.0198585645085043,0.191496436045016,1147.7053628432268,Muito dificil
22,49.0186736432677,0.058745003228658,0.0326535969768826,5501.867364326769,Muito dificil
23,2.0339886286996,0.197894147351257,0.937722151423525,803.39886286996,Muito dificil
24,1.77308667695063,0.203762731007111,1.46057724372905,777.308667695063,Muito dificil
25,2.49995008374115,0.216415881468428,3.00670098967282,849.9950083741151,Muito dificil
26,2.69074516345473,0.176838976858073,2.48733549984446,869.0745163454731,Muito dificil
27,-11.7418034604317,0.0200840984545035,-0.219183905939749,-574.1803460431701,Muito facil
28,1.84130818773811,0.145988423075109,0.810506205403516,784.130818773811,Muito dificil
29,-0.0351217876491791,0.264304294325038,1.51388249052268,596.487821235082,Media
30,1.46925753063107,0.232096796353213,0.882780846059726,746.9257530631071,Muito dificil
31,0.486767507634109,0.211374028128718,1.33506027551223,648.676750763411,Media
32,2.72980234146591,0.121686491733195,0.41632281071161,872.980234146591,Muito dificil
33,-0.108353024538651,0.167013082658692,2.12589194138621,589.1646975461349,Media
34,2.18480296561429,0.138305871571647,4.39868465396918,818.480296561429,Muito dificil
35,1.7514927107981,0.291755545433637,2.94421913850165,775.14927107981,Muito dificil
36,-88.321532995083,0.0810090317486335,-0.0174563169154833,-8232.1532995083,Muito facil
37,1.89318309253883,0.20891695226384,3.21820322438792,789.3183092538831,Muito dificil
38,1.9093665197387,0.26717336425395,3.27796142567951,790.9366519738701,Muito dificil
39,2.79424865551265,0.133870623506346,2.7006431927075,879.424865551265,Muito dificil
41,2.02901149504641,0.214955379498544,3.38888236210352,802.901149504641,Muito dificil
42,2.38880433681826,0.20810676686901,2.13852220277729,838.8804336818259,Muito dificil
43,2.62146478948217,0.177336609380299,0.708208466870351,862.146478948217,Muito dificil
44,2.0033817387024,0.181041763642825,3.39398706637633,800.33817387024,Muito dificil
45,1.21835860000756,0.192302419368973,1.61988593446465,721.835860000756,Dificil
